,Date,Electricity_consumption,Wind_production,Solar_production,Price,Wind+Solar,Year,Month,Delta,Price_Delta
1587,2019-05-07,176.002,16.634000000000004,5.307000000000001,,21.941,2019,5,154.061,
1588,2019-05-08,174.69000000000003,43.316,6.722,,50.038,2019,5,124.65200000000003,
1589,2019-05-09,179.72299999999996,11.669,3.4010000000000002,,15.070000000000006,2019,5,164.65299999999996,
1590,2019-05-10,171.726,27.987,6.4620000000000015,,34.449000000000005,2019,5,137.277,
1591,2019-05-11,147.279,13.625,5.285999999999999,,18.911000000000005,2019,5,128.368,
1592,2019-05-12,142.42399999999995,41.63100000000001,2.032,,43.663,2019,5,98.76099999999995,
1593,2019-05-13,180.349,59.5,2.233,,61.73300000000001,2019,5,118.61599999999999,
1594,2019-05-14,181.669,53.087,2.9200000000000004,,56.007,2019,5,125.662,
1595,2019-05-15,189.252,53.96300000000001,1.539,,55.502,2019,5,133.75,
1596,2019-05-16,181.778,12.01,3.5349999999999997,,15.544999999999998,2019,5,166.233,
1597,2019-05-17,170.22399999999996,17.366,6.459999999999999,,23.826,2019,5,146.39799999999997,
1598,2019-05-18,143.08199999999997,16.024,6.565,,22.589,2019,5,120.49299999999997,
1599,2019-05-19,133.13299999999998,5.267,6.702000000000001,,11.969000000000005,2019,5,121.16399999999997,
1600,2019-05-20,175.97799999999998,21.088,4.757,,25.84500000000001,2019,5,150.13299999999998,
1601,2019-05-21,179.97800000000004,21.198,3.3519999999999994,,24.55,2019,5,155.42800000000003,
1602,2019-05-22,181.115,55.21900000000001,4.5920000000000005,,59.81100000000001,2019,5,121.304,
1603,2019-05-23,175.42400000000004,45.668000000000006,6.242999999999999,,51.911,2019,5,123.51300000000003,
1604,2019-05-24,165.90200000000002,11.104000000000001,7.766999999999999,,18.871,2019,5,147.031,
1605,2019-05-25,140.922,1.6479999999999992,6.76,,8.408000000000001,2019,5,132.514,
1606,2019-05-26,131.24,2.7709999999999995,6.496,,9.267000000000001,2019,5,121.97300000000001,
1607,2019-05-27,174.80400000000003,11.044,5.0520000000000005,,16.096,2019,5,158.70800000000003,
1608,2019-05-28,177.67100000000005,13.497999999999998,3.5539999999999994,,17.052,2019,5,160.61900000000006,
1609,2019-05-29,179.40399999999997,43.902,1.7380000000000002,,45.64,2019,5,133.76399999999995,
1610,2019-05-30,142.04399999999995,33.385,4.255,,37.64,2019,5,104.40399999999995,
1611,2019-05-31,153.93400000000003,14.408,5.702000000000001,,20.11,2019,5,133.824,
1612,2019-06-01,136.13199999999998,18.678,6.428,,25.106000000000005,2019,6,111.02599999999997,
1613,2019-06-02,126.77600000000001,3.57,7.4179999999999975,,10.987999999999998,2019,6,115.78800000000001,
1614,2019-06-03,167.0149999999999,0.6270000000000001,7.641000000000001,,8.267999999999999,2019,6,158.7469999999999,
1615,2019-06-04,169.45,1.751,7.74,,9.491,2019,6,159.959,
1616,2019-06-05,172.07299999999998,9.256,7.615000000000001,,16.871000000000002,2019,6,155.20199999999997,
1617,2019-06-06,174.94400000000005,15.436000000000002,6.169,,21.605,2019,6,153.33900000000006,
1618,2019-06-07,166.733,14.504000000000001,7.272999999999999,,21.776999999999997,2019,6,144.95600000000002,
1619,2019-06-08,140.029,31.768,6.818,,38.58600000000001,2019,6,101.44299999999998,
1620,2019-06-09,124.69799999999998,5.917999999999998,7.892,,13.810000000000002,2019,6,110.88799999999998,
1621,2019-06-10,133.30200000000005,30.94,7.308000000000002,,38.248000000000005,2019,6,95.05400000000004,
1622,2019-06-11,172.895,28.76500000000001,6.768999999999999,,35.534000000000006,2019,6,137.361,
1623,2019-06-12,176.77599999999995,31.503,7.919,,39.422,2019,6,137.35399999999996,
1624,2019-06-13,175.112,11.899,7.703999999999999,,19.602999999999998,2019,6,155.509,
1625,2019-06-14,174.08599999999996,10.367,8.558000000000002,,18.925,2019,6,155.16099999999994,
1626,2019-06-15,149.232,24.644,6.906999999999999,,31.551000000000005,2019,6,117.681,
1627,2019-06-16,134.66100000000003,39.412000000000006,5.712000000000001,,45.124,2019,6,89.53700000000003,
1628,2019-06-17,171.58800000000005,15.633000000000004,6.236999999999999,,21.87,2019,6,149.71800000000005,
1629,2019-06-18,173.75000000000009,2.681,6.966,,9.646999999999998,2019,6,164.1030000000001,
1630,2019-06-19,174.89399999999995,6.332000000000001,6.949000000000002,,13.280999999999999,2019,6,161.61299999999994,
1631,2019-06-20,139.282,6.2570000000000014,6.5980000000000025,,12.855,2019,6,126.427,
1632,2019-06-21,157.22299999999996,9.050999999999998,5.931000000000003,,14.982000000000001,2019,6,142.24099999999996,
1633,2019-06-22,143.32699999999997,6.157,4.484,,10.640999999999996,2019,6,132.68599999999998,
1634,2019-06-23,132.768,8.975999999999997,4.197999999999999,,13.174,2019,6,119.594,
1635,2019-06-24,169.495,11.325999999999999,7.050999999999998,,18.377,2019,6,151.118,
1636,2019-06-25,175.489,8.101,8.097999999999999,,16.198999999999998,2019,6,159.29000000000002,
1637,2019-06-26,179.12900000000005,12.603,8.537999999999998,,21.141,2019,6,157.98800000000006,
1638,2019-06-27,183.791,24.438000000000002,7.406999999999999,,31.845,2019,6,151.946,
1639,2019-06-28,169.24799999999996,16.635,7.968999999999999,,24.604,2019,6,144.64399999999995,
1640,2019-06-29,142.59199999999996,1.175,8.092999999999998,,9.267999999999999,2019,6,133.32399999999996,
1641,2019-06-30,135.523,26.853,8.452,,35.30500000000001,2019,6,100.21799999999999,
1642,2019-07-01,178.227,10.051999999999996,7.1389999999999985,,17.191000000000006,2019,7,161.036,
1643,2019-07-02,177.58400000000003,8.779,4.908,,13.686999999999998,2019,7,163.89700000000005,
1644,2019-07-03,172.13600000000002,9.524,6.794999999999999,,16.318999999999996,2019,7,155.81700000000004,
1645,2019-07-04,170.40599999999998,3.633,7.3199999999999985,,10.952999999999998,2019,7,159.45299999999997,
1646,2019-07-05,169.18700000000004,12.63,7.046,,19.676,2019,7,149.51100000000005,
1647,2019-07-06,144.618,11.770999999999999,7.796000000000001,,19.567,2019,7,125.05099999999999,
1648,2019-07-07,134.116,29.312,4.9719999999999995,,34.28399999999999,2019,7,99.83200000000002,
1649,2019-07-08,167.61199999999997,9.755,3.932,,13.686999999999998,2019,7,153.92499999999995,
1650,2019-07-09,168.582,7.674000000000001,5.815,,13.489,2019,7,155.093,
1651,2019-07-10,165.519,16.977999999999994,6.1979999999999995,,23.176,2019,7,142.34300000000002,
1652,2019-07-11,166.95199999999997,10.142000000000001,5.738,,15.879999999999995,2019,7,151.07199999999997,
1653,2019-07-12,165.301,7.367999999999998,4.425,,11.793000000000005,2019,7,153.50799999999998,
1654,2019-07-13,141.329,23.868000000000002,4.747,,28.615,2019,7,112.71400000000001,
1655,2019-07-14,129.17000000000002,23.435,5.4990000000000006,,28.934,2019,7,100.23600000000002,
1656,2019-07-15,161.382,9.849000000000002,6.215,,16.064,2019,7,145.318,
1657,2019-07-16,163.11999999999995,12.575999999999999,6.177999999999999,,18.754,2019,7,144.36599999999996,
